1	probablement le meilleur pilote jamais réalisé pour une série télé . diablement addictif et interpété de manière inspiré , lost est une série à ne pas manquer .
0	série inintéressante banale le scénario est décevant et on ne rentre pas du tout dans la série .
1	c'est la première série que j'ai regardée quand j'étais plus jeune . je l'ai vraiment adorée , elle était géniale .
0	malgré les originaux rebondissements , la série reste ennuyeuse à mourir . a éviter absolument !
1	jamais je n'aurais cru mettre 3 etoiles a une serie française , sutout une serie policiere , mais il faut avouer que celle ci est tres plaisante , malgré encore de gros defauts , et un nom vraiment à chier ! allez , vous pouvez faire mieux , plus de rythme , encore plus de punch , et de l'action nom d'une pipe !
0	cette série est vraiment vide , aucune intrigue réelle , un scénariot ultra plat , et des acteurs vraiment nuls , on n'y croit pas un seconde , je ne pense pas qu'elle fera long feu ... passez vote chemin .
1	très sympathique .
0	"je me retrouve dans ma cuisine à boire ma tasse de thé , j'allume la télévision , me disant que ça me fera passer le temps , et je finis par décamper deux minutes plus tard tellement c'est exaspérant . la télévision est vraiment nulle , "" le destin de lisa "" ose faire pire ."
0	moi je dis zero ! ! ! c'est une véritable copie de grey's anatomy ! le réalisateur n'a aucun mérite !
0	j'attendait cette serie avec grande impatience , j'ai regardé le premier épisode que j'avais plutot apprécié , et puis dés le deuxième j'ai décroché . c'est devenu ennuyeux , trop de paroles , cela ne bouge pas , cette serie est vraiment un echec , minable et sans interêt .
0	pâle copie des experts , ris ne trouve pas son style , les scénarios ont bien souvent été exploités avant . les acteurs n'ont pas l'air d'être dans leurs personnages . la musique est sympa mais a un air de déjà entendue . un peu décevant au vu de l'abattage médiatique effectué par tf1 lors de son lancement . mieux vaut rester sur la sèrie originale .
0	""" louis la brocante "" , rien que le nom , tu sens que tu vas t'endormir au bout d'un quart d'heure , j'ai regardé un épisode ( et pourtant j'ai 13 ans , pas 80 ) , je me suis endormi . c'est une petite série minable , aux histoires ennuyeuses et sans aucun intérêt , les acteurs jouent mal , les gags sont minables ..."
0	une bonne première saison , puis après j'ai lâché . tout ce qui faisait le charme originel du film tombe petit à petit en miette , et laisse une série ultra populaire , on ne sait plus pourquoi , qui ne cesse de s'embourber dans des scénarios aussi pathétiques les uns les autres . vraiment dommage ...
0	série sans intérêt qui n'est que le remake de plusieurs films traitant du même sujet . pourquoi m6 s'obstine t-elle à nous diffuser des séries dont la production a été arrêtée ?
1	cette série est un pur bonheur et raviera tous les amateurs de mangas mélant graphisme superbe , scène d'action choc et une bande son a tomber par terre . dans la lignée des samurai champloo c'est tout dire : cette série est vraiment super
0	encore de la daube production , suite de la suite de la daube . ils ramassent encore de l'audimat en plus ! ! mais moi , je ne peux pas mettre 0 avec virginie desarnauts désolé .
0	que peut t'on dire de cette série : alors , c'est plat , c'est nul c'est mal joué , c'est horrible , c'est pitoyable , c'est indescriptible , c'est un suplice de regarder ça ! 1 épisode m'a suffit pour me dégouter de cette série .
0	je n'aime pas cette série car elle est basé sur des gags nuls . de plus , les personnages sont vraiments débiles . je la déconseille franchement !
1	qu'est que je kiffai cette série quand j'étais petit . bon aujourd'hui ca à du très mal vieillir , et c'est vrai que les scénarios sont d'une finesse et nouveauté très regrettable quand aux actrerus pfiouuu ... mais je met une si bonne note en me rappelant ma jeunesse , quand je sortai de l'école en vitesse pour pas rater cette série .
1	je n'ai vu que le premier épisode , mais ça promet grave ! et puis wentworth miller est tout simplement magnifique ! l'histoire est vraiment très originale et je sens que je vais me prendre de passion pour cette nouvelle série !
1	j'adore coeur océan , ça parle de vraies histoires d'amour comme dans la vraie vie où il y a disputes , amour , trahisons , conflits , amitiés et surtout beaux gosses . c'est vraiment la série que je préfère . je mets évidemment le maximum d'étoiles car c'est une super série .
1	univers variés , personnages nombreux , bo magnifique , animation originale , déconnades , émotion au rendez-vous , histoire vraiment sympa avec de nombreux fils rouges ... op est un des meilleurs mangas actuels tout simplement ! ! !
0	"je prefere encore regarder "" josephine ange gardien "" ... c'est dire ! ! !"
0	j'ai adoré l'idée , l'histoire qu'elle a voulu conter ... seulement , du fait qu'elle ait été arrêtée si tôt , le tout est vite parti de travers , ne laissant qu'une des 4 étoiles que je voulais lui mettre ... dommage ...
0	concept intéressant et original d'où une première et deuxième saison passionnantes . le problème c'est que la suite se ressemble et du coup , on s'en lasse , on en devient écoeuré , jusqu'à ne plus regarder ...
0	comment regarder ça jusqu'à la fin ? 5 minutes m'ont suffi pour être dégoûté ... si les acteurs jouaient mieux j'aurais peut-être poussé jusqu'à 10 ... vivement que les scénaristes américains se remettent au boulot !
1	j'adore trop cette série elle est pleine d'humour et très triste parfois ...
1	avec toujours plus de suspense , un jack bauer toujours plus fort et habile , une trame sans cesse accrocheuse , 24 heures chrono réussit à chaque nouvelle saison à nous faire suivre cette satané journée d'enfer sans relâche . juste une note négative sur l'image de l'agent américain combattant des terroristes venus de l'est . un cliché qui au fur et à mesure s'essouffle et peut sembler ambigü à force ...
1	cette série est vraiment très très bien . un humour noir comme je l'aime qui nous fait hurler de rire . les actrices sont excellentes , l'intrigue est au rendez-vous ! bref on passe un super moment de détente après une longue journée .
